,Type of Record,Rank,Name,Total
0,Total Fights,1,Jim Miller,41.0
1,Total Fights,2,Andrei Arlovski,39.0
2,Total Fights,3,Donald Cerrone,38.0
3,Total Fights,4,Clay Guida,34.0
4,Total Fights,4,Jeremy Stephens,34.0
5,Total Fights,6,Demian Maia,33.0
6,Total Fights,6,Rafael Dos Anjos,33.0
7,Total Fights,8,Diego Sanchez,32.0
8,Total Fights,9,Charles Oliveira,31.0
9,Total Fights,10,Frankie Edgar,30.0
10,Wins,1,Jim Miller,24.0
11,Wins,2,Andrei Arlovski,23.0
12,Wins,2,Donald Cerrone,23.0
13,Wins,4,Demian Maia,22.0
14,Wins,5,Rafael Dos Anjos,21.0
15,Wins,5,Charles Oliveira,21.0
16,Wins,5,Dustin Poirier,21.0
17,Wins,8,Michael Bisping,20.0
18,Wins,8,Georges St-Pierre,20.0
19,Wins,8,Jon Jones,20.0
20,Wins,8,Neil Magny,20.0
21,Finishes,1,Charles Oliveira,19.0
22,Finishes,2,Jim Miller,16.0
23,Finishes,2,Donald Cerrone,16.0
24,Finishes,4,Anderson Silva,14.0
25,Finishes,4,Matt Brown,14.0
26,Finishes,4,Dustin Poirier,14.0
27,Finishes,7,Frank Mir,13.0
28,Finishes,7,Joe Lauzon,13.0
29,Finishes,7,Glover Teixeira,13.0
30,Finishes,7,Derrick Lewis,13.0
31,Finishes,7,Vicente Luque,13.0
32,KO/TKO Wins,1,Derrick Lewis,13.0
33,KO/TKO Wins,2,Matt Brown,12.0
34,KO/TKO Wins,3,Anderson Silva,11.0
35,KO/TKO Wins,3,Anthony Johnson,11.0
36,KO/TKO Wins,3,Thiago Santos,11.0
37,KO/TKO Wins,6,Michael Bisping,10.0
38,KO/TKO Wins,6,Cain Velasquez,10.0
39,KO/TKO Wins,6,Junior Dos Santos,10.0
40,KO/TKO Wins,6,Donald Cerrone,10.0
41,KO/TKO Wins,6,Dustin Poirier,10.0
42,KO/TKO Wins,6,Francis Ngannou,10.0
43,Submission Wins,1,Charles Oliveira,16.0
44,Submission Wins,2,Demian Maia,11.0
45,Submission Wins,2,Jim Miller,11.0
46,Submission Wins,4,Nate Diaz,10.0
47,Submission Wins,5,Gerald Meerschaert,9.0
48,Submission Wins,6,Frank Mir,8.0
49,Submission Wins,7,Kenny Florian,7.0
50,Submission Wins,7,Cole Miller,7.0
51,Submission Wins,7,Joe Lauzon,7.0
52,Submission Wins,7,Rani Yahya,7.0
53,Submission Wins,7,Glover Teixeira,7.0
54,Submission Wins,7,Gunnar Nelson,7.0
55,Submission Wins,7,Aleksei Oleinik,7.0
56,Decision Wins,1,Neil Magny,13.0
57,Decision Wins,2,Andrei Arlovski,12.0
58,Decision Wins,2,Georges St-Pierre,12.0
59,Decision Wins,2,Diego Sanchez,12.0
60,Decision Wins,2,Rafael Dos Anjos,12.0
61,Decision Wins,2,Brad Tavares,12.0
62,Decision Wins,7,Frankie Edgar,11.0
63,Decision Wins,7,Clay Guida,11.0
64,Decision Wins,7,Gleison Tibau,11.0
65,Decision Wins,7,Darren Elkins,11.0
66,Decision Wins,7,Francisco Trinaldo,11.0
67,Decision Wins,7,Katlyn Chookagian,11.0
68,Win Streak,1,Anderson Silva,16.0
69,Win Streak,2,Kamaru Usman,15.0
70,Win Streak,3,Georges St-Pierre,13.0
71,Win Streak,3,Jon Jones,13.0
72,Win Streak,3,Demetrious Johnson,13.0
73,Win Streak,3,Khabib Nurmagomedov,13.0
74,Win Streak,3,Max Holloway,13.0
75,Win Streak,8,Amanda Nunes,12.0
76,Win Streak,8,Tony Ferguson,12.0
77,Win Streak,8,Islam Makhachev,12.0
78,Win Streak,8,Alexander Volkanovski,12.0
79,Title Fight Wins,1,Jon Jones,14.0
80,Title Fight Wins,2,Georges St-Pierre,13.0
81,Title Fight Wins,3,Demetrious Johnson,12.0
82,Title Fight Wins,4,Anderson Silva,11.0
83,Title Fight Wins,5,Amanda Nunes,10.0
84,Title Fight Wins,6,Matt Hughes,9.0
85,Title Fight Wins,7,Randy Couture,8.0
86,Title Fight Wins,7,Jose Aldo,8.0
87,Title Fight Wins,7,Valentina Shevchenko,8.0
